,Store Name,Age,Comments Count,Positive Rating,Negative Rating,Last month,Last3Month,Last6Month,Last Year
128,מיי דיגיטל ,13.0,63.0,55.0,7.0,0.0,2.0,5.0,10.0
129,א א סיגמה ,9.0,63.0,60.0,3.0,0.0,1.0,1.0,4.0
130,ACDC ,18.0,62.0,57.0,5.0,0.0,0.0,0.0,1.0
131,ספורטקום ,11.0,62.0,60.0,1.0,0.0,1.0,1.0,9.0
132,לנס ,19.0,60.0,58.0,2.0,1.0,2.0,2.0,2.0
133,פופיק ,5.0,60.0,59.0,0.0,0.0,1.0,2.0,8.0
134,מדיקון ,11.0,59.0,40.0,19.0,0.0,0.0,0.0,3.0
135,מולטי סטור ,2.0,58.0,58.0,0.0,0.0,6.0,12.0,39.0
136,קמפ דויד ישראל ,11.0,57.0,48.0,9.0,0.0,1.0,1.0,6.0
137,גאמבי ישראל ,19.0,56.0,43.0,11.0,0.0,1.0,1.0,2.0
138,D S A מערכות ,14.0,56.0,48.0,8.0,0.0,1.0,1.0,1.0
139,ארדי מוצרי צריכה ,7.0,56.0,53.0,2.0,0.0,1.0,1.0,2.0
140,אאורקה מוצרים ,8.0,55.0,55.0,0.0,0.0,0.0,1.0,1.0
141,מובייל סולושנס ,6.0,55.0,50.0,4.0,0.0,0.0,0.0,8.0
142,קפיץ קפוץ ,5.0,55.0,55.0,0.0,0.0,2.0,4.0,9.0
143,Virus PC Store ,2.0,54.0,54.0,0.0,4.0,11.0,20.0,49.0
144,camera2pic ,10.0,53.0,53.0,0.0,1.0,3.0,3.0,3.0
145,ORCA SHOP ,8.0,50.0,50.0,0.0,3.0,3.0,5.0,6.0
146,הצב ,13.0,49.0,48.0,1.0,0.0,0.0,0.0,1.0
147,או אם סי מחשבים ,8.0,49.0,46.0,3.0,0.0,0.0,3.0,8.0
148,קור לייט ,11.0,48.0,40.0,8.0,0.0,0.0,0.0,2.0
149,במבינו ,7.0,48.0,48.0,0.0,1.0,2.0,4.0,4.0
150,פרפיום קום ,11.0,45.0,43.0,2.0,1.0,1.0,1.0,1.0
151,וולט סטריט ,3.0,45.0,45.0,0.0,1.0,6.0,11.0,26.0
152,KBS ,11.0,44.0,23.0,19.0,0.0,0.0,0.0,1.0
153,קילומבו kilombo ,18.0,43.0,39.0,4.0,1.0,10.0,12.0,23.0
154,אלקטריק פלוס ,6.0,43.0,42.0,1.0,0.0,0.0,1.0,2.0
155,יוסי תכשיטים ,18.0,42.0,41.0,1.0,0.0,0.0,0.0,1.0
156,abshop ,12.0,42.0,41.0,0.0,0.0,0.0,1.0,3.0
157,דיוטיקום ,9.0,42.0,37.0,5.0,0.0,0.0,1.0,1.0
158,המרכז הישראלי למיגון ,8.0,41.0,40.0,1.0,1.0,3.0,6.0,16.0
159,וורלדשופ ,11.0,39.0,32.0,7.0,0.0,1.0,1.0,1.0
160,פילטר אאוטלט ,7.0,39.0,32.0,6.0,0.0,1.0,2.0,10.0
161,אקסטיישן ,14.0,38.0,37.0,1.0,0.0,0.0,0.0,4.0
162,אלטר מזוודות ותיקים ,14.0,38.0,37.0,1.0,0.0,0.0,0.0,2.0
163,מובייל סטייל אונו ,4.0,38.0,37.0,1.0,0.0,3.0,4.0,4.0
164,Max Pro ,3.0,37.0,37.0,0.0,0.0,0.0,0.0,1.0
165,קרן אלקטרוניקה ,17.0,36.0,35.0,0.0,1.0,1.0,1.0,1.0
166,מרכז הגבס ,10.0,36.0,32.0,4.0,0.0,0.0,0.0,2.0
167,ART CAMERA ,8.0,36.0,34.0,2.0,0.0,2.0,5.0,5.0
168,ג ונגל בעיר ,5.0,36.0,32.0,4.0,0.0,0.0,0.0,2.0
169,מר גן ,4.0,33.0,32.0,1.0,0.0,0.0,2.0,2.0
170,DealBuy ,10.0,33.0,31.0,2.0,0.0,0.0,0.0,1.0
171,ע מ שיווק והפצה ,6.0,33.0,32.0,1.0,0.0,2.0,3.0,6.0
172,ל פון קום ,6.0,32.0,26.0,5.0,1.0,2.0,2.0,2.0
173,טק מרקט ,3.0,32.0,32.0,0.0,2.0,4.0,4.0,10.0
174,מרכז השעונים ,4.0,31.0,25.0,6.0,0.0,0.0,2.0,15.0
175,דניאל פיטנס ,2.0,31.0,30.0,1.0,0.0,0.0,0.0,2.0
176,הרוש חומרי בניין בע מ ,2.0,31.0,31.0,0.0,4.0,23.0,23.0,31.0
177,ג ודאיקה מור ,8.0,30.0,30.0,0.0,1.0,1.0,2.0,2.0
178,חנות קפה בריוסו ,4.0,30.0,29.0,1.0,0.0,0.0,0.0,1.0
179,גנים יבוא ושיווק ,11.0,29.0,29.0,0.0,0.0,1.0,1.0,1.0
180,שופ הרים ,18.0,28.0,23.0,4.0,2.0,2.0,2.0,2.0
181,הכל לבית ,13.0,28.0,20.0,8.0,0.0,0.0,1.0,3.0
182,בייבילינד בני ברק ,3.0,28.0,28.0,0.0,0.0,0.0,0.0,11.0
183,אלקטריק עלית ,1.0,28.0,28.0,0.0,0.0,1.0,6.0,28.0
184,ארקדיה ,11.0,27.0,24.0,3.0,0.0,1.0,1.0,1.0
185,המפלס ,17.0,26.0,20.0,6.0,0.0,0.0,2.0,2.0
186,פסים ,10.0,26.0,26.0,0.0,0.0,0.0,0.0,2.0
187,לי ולך ,10.0,26.0,25.0,1.0,0.0,0.0,0.0,1.0
