,Store Name,Age,Comments Count,average rate,Positive Rating,Negative Rating,Last month,Last3Month,Last6Month,Last Year
167,ART CAMERA ,8,36,5.0,34,2,0,2,5,5
168,ג ונגל בעיר ,5,36,5.0,32,4,0,0,0,2
169,מר גן ,4,33,5.0,32,1,0,0,2,2
170,DealBuy ,10,33,5.0,31,2,0,0,0,1
171,ע מ שיווק והפצה ,6,33,5.0,32,1,0,2,3,6
172,ל פון קום ,6,32,5.0,26,5,1,2,2,2
173,טק מרקט ,3,32,5.0,32,0,2,4,4,10
174,מרכז השעונים ,4,31,5.0,25,6,0,0,2,15
175,דניאל פיטנס ,2,31,5.0,30,1,0,0,0,2
176,הרוש חומרי בניין בע מ ,2,31,5.0,31,0,4,23,23,31
177,ג ודאיקה מור ,8,30,5.0,30,0,1,1,2,2
178,חנות קפה בריוסו ,4,30,5.0,29,1,0,0,0,1
179,גנים יבוא ושיווק ,11,29,5.0,29,0,0,1,1,1
180,שופ הרים ,18,28,5.0,23,4,2,2,2,2
181,הכל לבית ,13,28,5.0,20,8,0,0,1,3
182,בייבילינד בני ברק ,3,28,5.0,28,0,0,0,0,11
183,אלקטריק עלית ,1,28,5.0,28,0,0,1,6,28
184,ארקדיה ,11,27,5.0,24,3,0,1,1,1
185,המפלס ,17,26,5.0,20,6,0,0,2,2
186,פסים ,10,26,5.0,26,0,0,0,0,2
187,לי ולך ,10,26,5.0,25,1,0,0,0,1
188,מחוץ לקופסא ,6,26,5.0,23,3,0,0,0,3
189,Watch4U שעונים ,14,25,5.0,24,1,0,2,2,2
190,עולם הקריוקי ,6,24,5.0,20,4,0,0,1,2
191,TheBigMall ,11,23,5.0,23,0,1,10,10,10
192,שאלטר ,7,23,5.0,19,4,0,0,1,3
193,Green Mobile ,9,22,5.0,9,13,2,2,2,3
194,איי קייק ,8,22,5.0,9,13,0,0,0,4
195,קופי פלאנט ,5,22,5.0,21,1,0,0,0,1
196,חי פארם ,3,22,5.0,22,0,0,2,2,2
197,ריקוטק ,16,21,5.0,20,1,0,0,0,1
198,mio4u ,15,21,5.0,18,2,0,1,1,1
199,החדר של רום ,7,21,5.0,20,1,1,1,2,3
200,טולמן ,5,21,5.0,20,1,0,2,4,10
201,אורבן רייד ,2,21,5.0,21,0,0,1,2,9
202,אל פי סי מחשבים ,1,21,5.0,21,0,1,3,4,21
203,נטקום מחשבים י ם ,1,20,5.0,18,2,1,2,2,5
204,סולאר לייט ,2,20,5.0,20,0,0,0,0,8
205,בית הפסנתר ,5,19,5.0,19,0,0,0,0,1
206,לבפיקס מחשבים ,5,19,5.0,18,1,1,1,1,2
207,FFP ציוד ומיגון ,3,19,5.0,18,1,0,0,0,7
208,דוריקו ,15,18,5.0,16,1,0,0,1,2
209,NMM מרקוביץ רקמה ,14,18,5.0,17,0,0,0,0,1
210,SellZone ,3,18,5.0,18,0,0,0,1,1
211,אוליווד ,3,17,5.0,17,0,1,3,4,5
